LoanID,CustomerID,Product,Region,LoanAmount,TermMonths,InterestRate,ApplicationDate,ApprovalDate,ApprovalDays,LoanStatus,RiskBand,OutstandingBalance
L0000247,C000348,Personal Loan,South West,12000,48,12.9,2025-11-15,2025-11-18,3,Active,Medium,7489.25
L0000248,C000350,Home Improvement,London,3500,12,15.9,2025-10-24,2025-10-29,5,Approved,Medium,1189.96
L0000249,C000352,Debt Consolidation,Wales,5000,48,18.9,2025-01-16,2025-01-19,3,Closed,Medium,0
L0000250,C000353,Debt Consolidation,North West,28000,24,12.9,2025-12-25,2025-12-30,5,Defaulted,Low,11398.89
L0000251,C000356,Debt Consolidation,Scotland,26000,24,9.9,2026-02-12,2026-02-16,4,Approved,Low,14458.77
L0000252,C000357,Debt Consolidation,London,14000,60,9.9,2025-02-03,2025-02-06,3,Active,High,5199.81
L0000253,C000358,Home Improvement,Scotland,11000,60,7.9,2026-06-02,2026-06-08,6,Active,Medium,3972.61
L0000254,C000359,Home Improvement,London,19000,48,18.9,2025-05-31,2025-06-04,4,Active,Low,16635.08
L0000255,C000360,Personal Loan,Midlands,8500,60,9.9,2025-05-16,2025-05-20,4,Active,Medium,2339.94
L0000256,C000361,Car Finance,South West,18000,60,18.9,2025-01-31,2025-02-04,4,Delinquent,Low,13380.1
L0000257,C000363,Personal Loan,South East,8000,36,12.9,2025-05-22,2025-05-23,1,Active,High,1431.53
L0000258,C000364,Personal Loan,Midlands,7000,48,18.9,2026-02-19,2026-02-26,7,Active,Medium,4117.42
L0000259,C000365,Home Improvement,Midlands,14000,12,12.9,2025-07-11,2025-07-18,7,Active,Low,12959.17
L0000260,C000369,Home Improvement,London,10500,24,7.9,2026-01-11,2026-01-16,5,Closed,Low,0
L0000261,C000371,Home Improvement,South West,7500,60,9.9,2026-04-27,2026-05-04,7,Delinquent,Medium,1156.48
L0000262,C000372,Personal Loan,South East,16500,12,15.9,2025-02-03,2025-02-07,4,Approved,Low,2538.04
L0000263,C000373,Car Finance,South East,26500,12,7.9,2025-08-07,2025-08-12,5,Active,Low,8853.03
L0000264,C000374,Personal Loan,Wales,3500,48,15.9,2025-12-09,2025-12-14,5,Delinquent,Medium,1668.04
L0000265,C000376,Debt Consolidation,Wales,27500,36,15.9,2025-12-03,2025-12-08,5,Closed,Low,0
L0000266,C000378,Car Finance,London,11000,12,15.9,2026-03-25,2026-03-29,4,Active,Low,8079.2
L0000267,C000380,Home Improvement,South East,19000,36,12.9,2025-06-28,2025-07-03,5,Active,Low,5160.43
L0000268,C000381,Car Finance,London,29500,24,7.9,2026-01-19,2026-01-23,4,Active,Medium,15650.79
L0000269,C000382,Debt Consolidation,South East,7500,36,7.9,2026-02-05,2026-02-09,4,Approved,High,5242.78
L0000270,C000383,Personal Loan,North West,9500,12,9.9,2025-09-17,2025-09-22,5,Delinquent,Medium,2121.93
L0000271,C000385,Personal Loan,Wales,13000,60,9.9,2026-01-14,2026-01-20,6,Active,Low,9448.0
L0000272,C000386,Car Finance,South West,24500,12,12.9,2025-02-15,2025-02-21,6,Delinquent,Low,14553.78
L0000273,C000387,Home Improvement,Wales,6000,24,7.9,2025-08-23,2025-08-28,5,Active,Low,4161.07
L0000274,C000388,Debt Consolidation,Midlands,24000,12,9.9,2025-05-11,2025-05-17,6,Active,Low,4425.26
L0000275,C000389,Debt Consolidation,Midlands,17000,36,15.9,2025-03-17,2025-03-22,5,Delinquent,Medium,4233.77
L0000276,C000390,Car Finance,South West,26500,36,12.9,2025-10-21,2025-10-26,5,Approved,Medium,25207.04
L0000277,C000391,Home Improvement,Midlands,10000,24,9.9,2026-01-25,2026-01-27,2,Delinquent,Low,9362.05
L0000278,C000392,Car Finance,London,2500,36,12.9,2026-02-20,2026-02-24,4,Active,Medium,1990.1
L0000279,C000393,Home Improvement,Midlands,14000,12,15.9,2026-05-30,2026-06-04,5,Active,Low,5418.1
L0000280,C000394,Home Improvement,Wales,14000,12,12.9,2025-07-05,2025-07-11,6,Active,Low,9660.73
L0000281,C000395,Personal Loan,North West,3500,12,15.9,2026-05-26,2026-06-01,6,Closed,Low,0
L0000282,C000396,Debt Consolidation,North West,7500,36,15.9,2025-11-13,2025-11-22,9,Approved,Low,1871.47
L0000283,C000397,Debt Consolidation,Scotland,2000,36,12.9,2025-06-28,2025-07-04,6,Closed,Low,0
L0000284,C000399,Car Finance,London,24500,36,18.9,2026-03-22,2026-03-25,3,Closed,High,0
L0000285,C000400,Debt Consolidation,North West,7500,60,12.9,2026-01-22,2026-01-27,5,Delinquent,High,6311.15
L0000286,C000401,Home Improvement,Midlands,9000,60,12.9,2025-11-19,2025-11-26,7,Closed,Low,0
L0000287,C000402,Home Improvement,South East,20000,12,18.9,2025-01-18,2025-01-23,5,Active,Low,10484.26
L0000288,C000403,Car Finance,Midlands,27500,60,9.9,2025-03-23,2025-03-26,3,Active,Low,19530.74
L0000289,C000404,Home Improvement,North West,17500,48,12.9,2025-12-24,2025-12-31,7,Active,Medium,9596.1
L0000290,C000405,Home Improvement,South West,16000,12,7.9,2026-04-21,2026-04-26,5,Delinquent,Medium,4224.05
L0000291,C000406,Home Improvement,Scotland,23500,24,15.9,2026-02-28,2026-03-03,3,Closed,Low,0
L0000292,C000407,Home Improvement,Wales,25000,24,18.9,2026-05-04,2026-05-13,9,Approved,Low,5820.0
L0000293,C000409,Personal Loan,Scotland,27500,60,9.9,2026-04-29,2026-05-04,5,Active,High,11012.93
L0000294,C000410,Car Finance,London,8000,36,18.9,2026-02-06,2026-02-10,4,Active,Low,7599.91
L0000295,C000411,Home Improvement,Wales,27000,60,7.9,2026-02-10,2026-02-18,8,Defaulted,Medium,19978.03
L0000296,C000412,Personal Loan,Scotland,20000,12,9.9,2026-02-15,2026-02-20,5,Active,Medium,6813.38
L0000297,C000413,Personal Loan,Midlands,10500,24,7.9,2025-08-10,2025-08-16,6,Active,Low,2366.91
L0000298,C000414,Debt Consolidation,South West,28000,36,15.9,2025-11-25,2025-12-01,6,Active,Low,25712.32
L0000299,C000416,Home Improvement,South East,27500,24,18.9,2025-02-06,2025-02-11,5,Defaulted,Low,19975.71
L0000300,C000417,Home Improvement,North West,7500,48,12.9,2026-01-20,2026-01-26,6,Closed,Low,0
L0000301,C000419,Debt Consolidation,South East,15000,12,15.9,2025-01-18,2025-01-23,5,Closed,High,0
L0000302,C000420,Debt Consolidation,Wales,22500,60,12.9,2025-01-28,2025-02-02,5,Active,Low,16892.92
L0000303,C000421,Personal Loan,Midlands,19000,48,18.9,2026-03-22,2026-03-25,3,Delinquent,Medium,14891.59
L0000304,C000422,Debt Consolidation,Midlands,21500,24,15.9,2025-04-25,2025-04-30,5,Closed,Medium,0
L0000305,C000423,Personal Loan,South East,13000,24,9.9,2025-01-06,2025-01-10,4,Active,Medium,1991.53
L0000306,C000426,Debt Consolidation,North West,29500,60,18.9,2025-07-31,2025-08-05,5,Delinquent,Medium,9676.79
L0000307,C000427,Personal Loan,Wales,25000,24,12.9,2026-06-05,2026-06-11,6,Approved,Low,14713.37
L0000308,C000428,Debt Consolidation,Wales,21500,36,18.9,2025-06-24,2025-06-28,4,Closed,Medium,0
L0000309,C000429,Car Finance,Wales,17500,12,18.9,2026-02-10,2026-02-18,8,Active,Low,6327.57
L0000310,C000430,Personal Loan,Scotland,2000,36,9.9,2026-02-08,2026-02-13,5,Active,Medium,572.28
L0000311,C000431,Car Finance,London,19500,36,15.9,2025-04-19,2025-04-25,6,Active,Medium,15683.68
L0000312,C000434,Car Finance,Midlands,19500,36,18.9,2025-04-10,2025-04-15,5,Active,High,18766.04
L0000313,C000435,Home Improvement,South East,5500,60,7.9,2025-07-05,2025-07-09,4,Approved,Low,2831.67
L0000314,C000437,Debt Consolidation,Wales,26500,36,18.9,2026-03-12,2026-03-18,6,Approved,Low,17556.59
L0000315,C000438,Debt Consolidation,London,10000,48,15.9,2025-04-05,2025-04-09,4,Closed,Medium,0
L0000316,C000440,Car Finance,Midlands,8000,12,12.9,2026-05-02,2026-05-09,7,Closed,Medium,0
L0000317,C000441,Personal Loan,South West,13000,48,15.9,2025-04-20,2025-04-25,5,Active,High,9883.03
L0000318,C000442,Home Improvement,Scotland,11000,24,12.9,2025-10-25,2025-10-31,6,Active,Medium,7303.78
L0000319,C000443,Car Finance,South East,28000,24,12.9,2025-03-17,2025-03-21,4,Approved,Low,25086.11
L0000320,C000444,Home Improvement,Midlands,15500,60,9.9,2026-03-12,2026-03-17,5,Active,Low,3475.52
L0000321,C000445,Home Improvement,North West,28000,60,7.9,2025-12-02,2025-12-08,6,Active,Low,5617.56
L0000322,C000449,Car Finance,London,16000,24,7.9,2025-10-26,2025-10-29,3,Approved,Low,13295.06
L0000323,C000451,Personal Loan,North West,14000,36,12.9,2025-03-26,2025-04-02,7,Active,Low,12480.16
L0000324,C000452,Car Finance,London,20000,48,18.9,2025-01-23,2025-01-29,6,Closed,Low,0
L0000325,C000453,Debt Consolidation,Scotland,19000,48,9.9,2025-12-03,2025-12-08,5,Active,High,3185.47
L0000326,C000454,Debt Consolidation,South West,14500,24,12.9,2025-05-11,2025-05-15,4,Active,Low,13847.61
L0000327,C000455,Debt Consolidation,London,7500,36,7.9,2025-07-07,2025-07-15,8,Closed,Medium,0
L0000328,C000456,Car Finance,North West,26500,24,15.9,2025-12-10,2025-12-15,5,Delinquent,Low,19843.11
L0000329,C000457,Debt Consolidation,Wales,20000,12,18.9,2026-01-25,2026-01-29,4,Active,Medium,6081.59
L0000330,C000458,Car Finance,Scotland,6500,12,18.9,2025-03-26,2025-03-31,5,Active,High,5279.33
L0000331,C000459,Home Improvement,Scotland,25000,60,7.9,2025-11-04,2025-11-11,7,Active,Medium,20913.6
L0000332,C000460,Car Finance,London,2000,60,18.9,2025-03-02,2025-03-06,4,Active,Low,729.64
L0000333,C000461,Personal Loan,South West,12000,36,15.9,2026-02-25,2026-03-03,6,Active,High,11738.8
L0000334,C000463,Home Improvement,South East,25500,60,7.9,2026-04-16,2026-04-23,7,Active,Low,10178.77
L0000335,C000464,Home Improvement,Wales,24000,36,12.9,2026-01-14,2026-01-16,2,Delinquent,Low,6589.62
L0000336,C000465,Car Finance,Midlands,11000,60,12.9,2025-09-14,2025-09-19,5,Closed,Low,0
L0000337,C000466,Personal Loan,South West,6500,24,9.9,2026-06-04,2026-06-07,3,Closed,Medium,0
L0000338,C000467,Personal Loan,South West,4000,24,12.9,2026-03-05,2026-03-10,5,Active,Low,1552.39
L0000339,C000468,Car Finance,Scotland,4500,24,9.9,2025-01-31,2025-02-06,6,Closed,Low,0
L0000340,C000470,Debt Consolidation,London,12000,12,9.9,2025-06-17,2025-06-22,5,Closed,Low,0
L0000341,C000471,Home Improvement,South West,11500,24,9.9,2026-05-10,2026-05-15,5,Closed,Low,0
L0000342,C000472,Home Improvement,South East,9000,36,9.9,2026-03-16,2026-03-24,8,Active,Medium,5088.31
L0000343,C000473,Car Finance,Scotland,2000,24,15.9,2026-03-11,2026-03-17,6,Approved,Low,387.77
L0000344,C000474,Car Finance,South West,25500,12,18.9,2026-05-24,2026-05-31,7,Closed,Medium,0
L0000345,C000476,Car Finance,South East,5500,48,7.9,2026-04-25,2026-04-28,3,Active,Low,5280.2
L0000346,C000479,Car Finance,London,14500,60,7.9,2025-05-05,2025-05-11,6,Closed,Low,0
L0000347,C000480,Personal Loan,South West,28500,48,12.9,2025-04-29,2025-05-05,6,Active,Medium,9421.99
L0000348,C000482,Home Improvement,Scotland,13500,12,15.9,2025-04-14,2025-04-17,3,Active,Low,10581.71
L0000349,C000483,Personal Loan,London,6000,60,7.9,2025-04-24,2025-05-02,8,Active,Low,1567.25
L0000350,C000485,Home Improvement,Scotland,27000,36,15.9,2025-10-30,2025-11-02,3,Closed,Low,0
L0000351,C000486,Personal Loan,South West,17000,12,9.9,2025-08-24,2025-08-30,6,Defaulted,Low,13503.83
L0000352,C000487,Car Finance,Wales,13000,60,9.9,2025-05-22,2025-05-28,6,Active,Low,9740.76
L0000353,C000488,Car Finance,Midlands,9500,60,12.9,2025-01-29,2025-02-04,6,Active,Low,7335.43
L0000354,C000490,Personal Loan,North West,15500,60,7.9,2026-05-17,2026-05-23,6,Delinquent,Medium,7766.05
L0000355,C000491,Car Finance,Scotland,12500,12,7.9,2025-02-10,2025-02-15,5,Active,High,3779.23
L0000356,C000492,Home Improvement,South East,24500,48,15.9,2026-03-17,2026-03-23,6,Active,Medium,20432.32
L0000357,C000493,Personal Loan,South East,26000,48,7.9,2026-01-08,2026-01-14,6,Approved,High,16093.67
L0000358,C000494,Home Improvement,North West,5500,60,9.9,2025-03-02,2025-03-09,7,Defaulted,Low,2324.88
L0000359,C000495,Car Finance,South East,3500,12,9.9,2025-05-18,2025-05-23,5,Active,Low,1860.68
L0000360,C000496,Personal Loan,Scotland,6500,60,15.9,2025-11-23,2025-11-30,7,Active,Low,5815.93
L0000361,C000497,Debt Consolidation,Wales,9500,12,18.9,2025-11-03,2025-11-09,6,Approved,Low,3482.42
L0000362,C000498,Home Improvement,Scotland,15500,36,7.9,2025-10-24,2025-10-27,3,Delinquent,Low,10514.08
L0000363,C000501,Debt Consolidation,Midlands,16000,24,18.9,2025-11-04,2025-11-07,3,Active,Medium,10980.46
L0000364,C000502,Personal Loan,Wales,4500,12,18.9,2026-04-20,2026-04-26,6,Active,High,3270.18
L0000365,C000504,Car Finance,South East,24500,12,15.9,2025-10-17,2025-10-21,4,Closed,Low,0
L0000366,C000507,Personal Loan,North West,5000,60,18.9,2025-12-15,2025-12-23,8,Active,Low,4218.96
L0000367,C000508,Home Improvement,South East,20000,36,15.9,2026-02-03,2026-02-04,1,Active,Low,15827.0
L0000368,C000509,Car Finance,Scotland,28500,12,18.9,2025-01-17,2025-01-20,3,Closed,Low,0
L0000369,C000510,Debt Consolidation,London,15000,36,15.9,2025-12-26,2025-12-31,5,Closed,Medium,0
L0000370,C000511,Car Finance,Wales,2500,36,9.9,2026-01-30,2026-02-03,4,Active,Low,444.03
L0000371,C000513,Debt Consolidation,North West,21500,12,18.9,2025-03-25,2025-03-28,3,Active,Low,12190.0
L0000372,C000514,Car Finance,Midlands,24000,48,7.9,2025-05-01,2025-05-07,6,Active,Medium,18838.69
L0000373,C000516,Debt Consolidation,London,7000,48,18.9,2025-09-26,2025-10-01,5,Closed,Low,0
L0000374,C000518,Personal Loan,South West,16500,60,7.9,2025-03-19,2025-03-24,5,Active,Low,7766.26
L0000375,C000520,Personal Loan,North West,12500,12,9.9,2025-04-06,2025-04-13,7,Active,Medium,11595.5
L0000376,C000523,Personal Loan,Wales,22000,36,7.9,2026-04-24,2026-04-28,4,Active,Low,11023.66
L0000377,C000525,Debt Consolidation,South West,8000,36,12.9,2026-03-08,2026-03-13,5,Approved,High,5462.38
L0000378,C000526,Debt Consolidation,North West,9000,48,12.9,2025-06-09,2025-06-15,6,Active,Medium,5468.36
L0000379,C000527,Home Improvement,Midlands,29000,36,7.9,2025-05-17,2025-05-21,4,Closed,Low,0
L0000380,C000528,Car Finance,North West,15000,48,7.9,2026-01-29,2026-02-04,6,Delinquent,Low,4452.66
L0000381,C000529,Personal Loan,North West,27000,36,9.9,2025-03-10,2025-03-17,7,Closed,High,0
L0000382,C000530,Car Finance,Midlands,9000,36,9.9,2025-07-07,2025-07-09,2,Active,Low,8770.15
L0000383,C000531,Personal Loan,Wales,3500,24,15.9,2025-12-25,2026-01-01,7,Approved,Low,950.91
L0000384,C000532,Personal Loan,Scotland,29500,24,9.9,2026-03-02,2026-03-08,6,Active,Low,27024.78
L0000385,C000533,Personal Loan,London,18000,12,12.9,2025-12-29,2026-01-01,3,Closed,Medium,0
L0000386,C000534,Home Improvement,South East,14500,24,7.9,2026-01-27,2026-02-03,7,Active,Low,13191.1
L0000387,C000535,Personal Loan,Midlands,3000,60,9.9,2026-05-10,2026-05-17,7,Active,Medium,1796.72
L0000388,C000536,Car Finance,South West,23000,12,7.9,2025-07-10,2025-07-16,6,Approved,Low,4067.53
L0000389,C000538,Personal Loan,North West,22000,24,7.9,2025-05-21,2025-05-25,4,Active,Medium,18325.68
L0000390,C000539,Car Finance,North West,28000,60,15.9,2026-05-13,2026-05-18,5,Active,Medium,16213.61
L0000391,C000540,Personal Loan,London,10500,12,18.9,2026-03-16,2026-03-20,4,Closed,Low,0
L0000392,C000543,Car Finance,South West,3000,24,15.9,2026-03-17,2026-03-22,5,Active,Low,2776.77
L0000393,C000544,Personal Loan,Scotland,5500,48,18.9,2025-06-02,2025-06-06,4,Active,Low,1896.56
L0000394,C000545,Personal Loan,Wales,23500,12,7.9,2025-07-23,2025-07-28,5,Active,Medium,11778.74
L0000395,C000546,Personal Loan,North West,24000,48,18.9,2025-11-24,2025-12-01,7,Active,Low,18708.75
L0000396,C000547,Car Finance,South West,8500,24,9.9,2026-05-06,2026-05-12,6,Active,Low,3314.57
L0000397,C000548,Debt Consolidation,North West,2500,60,7.9,2025-07-06,2025-07-11,5,Active,Medium,848.0
L0000398,C000549,Car Finance,Wales,6000,48,7.9,2025-12-17,2025-12-27,10,Delinquent,Medium,2511.57
L0000399,C000550,Home Improvement,Scotland,14000,12,12.9,2025-09-01,2025-09-05,4,Active,Medium,3671.86
L0000400,C000551,Personal Loan,Midlands,22000,48,12.9,2026-01-01,2026-01-05,4,Delinquent,Medium,8462.55
L0000401,C000552,Personal Loan,North West,5000,24,18.9,2025-05-14,2025-05-16,2,Active,Low,3491.21
L0000402,C000553,Home Improvement,South East,20000,36,15.9,2025-09-19,2025-09-22,3,Active,Low,9497.49
L0000403,C000554,Home Improvement,London,10500,36,15.9,2026-02-21,2026-02-25,4,Active,Medium,8125.26
L0000404,C000555,Home Improvement,Midlands,13000,12,15.9,2025-02-28,2025-03-03,3,Active,Low,5457.79
L0000405,C000556,Personal Loan,Midlands,2500,60,9.9,2026-03-13,2026-03-19,6,Closed,Low,0
L0000406,C000557,Debt Consolidation,Wales,25000,12,18.9,2025-12-07,2025-12-09,2,Approved,Medium,4380.73
L0000407,C000558,Car Finance,South East,11500,36,7.9,2025-01-14,2025-01-17,3,Closed,Medium,0
L0000408,C000563,Personal Loan,South West,12500,60,12.9,2025-05-24,2025-05-29,5,Approved,Medium,6737.18
L0000409,C000566,Home Improvement,Scotland,8000,12,18.9,2025-06-12,2025-06-14,2,Closed,Low,0
L0000410,C000569,Home Improvement,London,6500,36,9.9,2026-05-28,2026-06-02,5,Delinquent,Low,5408.08
L0000411,C000570,Debt Consolidation,South West,13500,60,18.9,2025-11-06,2025-11-11,5,Active,High,7689.44
L0000412,C000572,Debt Consolidation,Scotland,29500,12,7.9,2025-02-07,2025-02-10,3,Active,Low,9798.14
L0000413,C000574,Personal Loan,London,12500,12,12.9,2025-12-04,2025-12-06,2,Active,Medium,7319.78
L0000414,C000575,Personal Loan,London,28000,60,18.9,2026-02-07,2026-02-13,6,Active,Low,17743.79
L0000415,C000579,Debt Consolidation,Scotland,6000,60,12.9,2025-08-12,2025-08-14,2,Active,Medium,5225.65
L0000416,C000580,Debt Consolidation,Wales,27500,48,7.9,2026-03-20,2026-03-25,5,Delinquent,Low,10970.01
L0000417,C000581,Personal Loan,Midlands,2000,24,9.9,2025-12-11,2025-12-18,7,Active,High,1371.58
L0000418,C000582,Car Finance,Wales,16500,12,18.9,2026-04-09,2026-04-15,6,Closed,High,0
L0000419,C000583,Personal Loan,Scotland,21500,12,12.9,2026-04-09,2026-04-15,6,Closed,Medium,0
L0000420,C000584,Home Improvement,South West,26000,24,15.9,2026-05-17,2026-05-23,6,Active,High,19762.68
L0000421,C000585,Personal Loan,South West,26000,24,9.9,2026-04-26,2026-05-04,8,Active,High,11966.42
L0000422,C000586,Car Finance,North West,18000,12,7.9,2026-01-18,2026-01-24,6,Active,High,17117.54
L0000423,C000587,Personal Loan,Wales,22000,60,12.9,2026-02-20,2026-02-24,4,Closed,High,0
L0000424,C000589,Debt Consolidation,Midlands,8500,60,9.9,2025-09-13,2025-09-18,5,Active,Low,3235.41
L0000425,C000590,Personal Loan,Scotland,8000,24,9.9,2025-04-14,2025-04-18,4,Delinquent,Medium,6489.47
L0000426,C000591,Debt Consolidation,Scotland,13000,48,7.9,2025-08-26,2025-09-01,6,Active,Medium,12710.64
L0000427,C000594,Car Finance,Midlands,24500,48,15.9,2025-07-27,2025-08-02,6,Active,Low,5338.33
L0000428,C000595,Personal Loan,South West,14500,60,9.9,2025-04-14,2025-04-18,4,Closed,High,0
L0000429,C000598,Personal Loan,South East,28500,36,12.9,2026-02-02,2026-02-07,5,Closed,Medium,0
L0000430,C000599,Debt Consolidation,South West,23500,12,15.9,2026-04-08,2026-04-12,4,Closed,Medium,0
L0000431,C000600,Car Finance,Scotland,26000,12,9.9,2025-02-04,2025-02-09,5,Active,Low,23702.71
L0000432,C000601,Personal Loan,South West,5000,48,7.9,2025-04-04,2025-04-10,6,Defaulted,Medium,3952.39
L0000433,C000602,Debt Consolidation,South East,11500,60,12.9,2025-12-04,2025-12-13,9,Active,Medium,2437.89
L0000434,C000603,Car Finance,South West,26500,60,9.9,2025-03-18,2025-03-19,1,Delinquent,Low,22651.68
L0000435,C000604,Car Finance,Wales,4000,24,7.9,2025-02-19,2025-02-25,6,Active,Medium,3806.5
L0000436,C000605,Home Improvement,Wales,3500,12,12.9,2025-08-15,2025-08-19,4,Active,Medium,1781.95
L0000437,C000606,Car Finance,Wales,5500,24,7.9,2025-10-09,2025-10-15,6,Approved,Medium,4756.13
L0000438,C000607,Personal Loan,Scotland,25000,60,12.9,2025-02-09,2025-02-14,5,Active,Low,8484.59
L0000439,C000609,Home Improvement,South East,5000,60,12.9,2025-11-04,2025-11-11,7,Active,Medium,1070.39
L0000440,C000611,Personal Loan,South East,23500,24,15.9,2025-01-26,2025-01-30,4,Active,Low,16547.21
L0000441,C000612,Personal Loan,Midlands,15000,12,9.9,2026-03-31,2026-04-03,3,Active,Low,3993.17
L0000442,C000613,Debt Consolidation,Midlands,26500,12,12.9,2025-01-05,2025-01-11,6,Active,Low,10745.37
L0000443,C000615,Car Finance,South West,9000,12,12.9,2026-02-01,2026-02-09,8,Approved,Medium,2723.14
L0000444,C000616,Personal Loan,London,14000,60,9.9,2026-02-20,2026-02-25,5,Active,Medium,6704.02
L0000445,C000617,Personal Loan,London,22500,24,9.9,2025-09-03,2025-09-07,4,Approved,Low,14649.15
L0000446,C000620,Car Finance,Scotland,11000,48,12.9,2026-01-21,2026-01-27,6,Closed,Medium,0
L0000447,C000621,Personal Loan,Midlands,28000,36,15.9,2025-03-30,2025-04-02,3,Active,Low,7822.64
L0000448,C000622,Home Improvement,Scotland,15000,24,15.9,2026-01-12,2026-01-16,4,Active,Low,12780.25
L0000449,C000623,Car Finance,London,24000,12,9.9,2025-09-07,2025-09-13,6,Approved,Low,11169.39
L0000450,C000624,Car Finance,North West,21500,48,15.9,2026-01-31,2026-02-06,6,Active,High,12349.31
L0000451,C000625,Home Improvement,Wales,11500,48,12.9,2025-04-23,2025-04-29,6,Closed,Medium,0
L0000452,C000626,Home Improvement,Midlands,25000,60,12.9,2025-02-20,2025-02-24,4,Active,Medium,6374.88
L0000453,C000627,Personal Loan,Wales,12500,36,15.9,2025-04-21,2025-04-27,6,Delinquent,Low,7486.77
L0000454,C000628,Personal Loan,South East,17000,36,15.9,2025-08-11,2025-08-17,6,Active,Low,5330.87
L0000455,C000630,Personal Loan,Midlands,20500,60,9.9,2025-12-31,2026-01-04,4,Active,Low,15315.88
L0000456,C000631,Car Finance,London,4000,36,18.9,2025-02-14,2025-02-18,4,Closed,Low,0
L0000457,C000632,Home Improvement,Scotland,17000,48,7.9,2026-05-02,2026-05-09,7,Active,Low,4359.91
L0000458,C000633,Car Finance,Midlands,6500,24,12.9,2025-10-13,2025-10-20,7,Approved,Low,2143.59
L0000459,C000634,Debt Consolidation,Wales,21500,36,9.9,2025-01-18,2025-01-24,6,Active,Low,20827.55
L0000460,C000635,Debt Consolidation,South East,12500,60,15.9,2026-04-25,2026-05-02,7,Closed,Low,0
L0000461,C000637,Car Finance,Scotland,19000,36,12.9,2026-02-07,2026-02-13,6,Active,Low,13412.91
L0000462,C000638,Debt Consolidation,South West,29000,60,7.9,2025-11-14,2025-11-17,3,Active,Low,12435.65
L0000463,C000639,Car Finance,Scotland,25500,36,9.9,2025-05-08,2025-05-12,4,Active,Medium,19348.4
L0000464,C000640,Personal Loan,North West,28000,36,9.9,2026-02-09,2026-02-12,3,Active,Medium,14978.7
L0000465,C000641,Car Finance,Scotland,20000,12,9.9,2025-07-12,2025-07-14,2,Active,Low,8825.25
L0000466,C000642,Car Finance,Scotland,12500,12,7.9,2025-06-03,2025-06-06,3,Approved,Medium,10544.49
L0000467,C000645,Debt Consolidation,South East,15000,48,12.9,2026-01-12,2026-01-18,6,Delinquent,Low,6755.49
L0000468,C000646,Debt Consolidation,Midlands,14500,36,18.9,2026-03-21,2026-03-26,5,Active,High,2527.61
L0000469,C000650,Home Improvement,London,16000,24,15.9,2026-04-24,2026-05-01,7,Approved,Medium,10831.95
L0000470,C000651,Home Improvement,North West,27500,12,7.9,2025-03-22,2025-03-25,3,Active,Low,17274.58
L0000471,C000652,Car Finance,Wales,19500,36,12.9,2025-07-17,2025-07-21,4,Active,High,18734.49
L0000472,C000653,Home Improvement,South West,15000,48,9.9,2025-04-21,2025-04-30,9,Active,Low,7046.63
L0000473,C000654,Car Finance,Scotland,9500,12,9.9,2026-03-18,2026-03-25,7,Delinquent,Low,7297.21
L0000474,C000655,Debt Consolidation,South East,3000,24,18.9,2026-01-11,2026-01-15,4,Active,Medium,716.6
L0000475,C000656,Personal Loan,North West,23000,60,15.9,2025-06-10,2025-06-13,3,Active,Low,11238.72
L0000476,C000658,Personal Loan,South West,20500,60,9.9,2025-04-11,2025-04-16,5,Active,Medium,16463.19
L0000477,C000661,Personal Loan,South West,3500,24,18.9,2025-12-21,2025-12-25,4,Closed,High,0
L0000478,C000662,Home Improvement,Scotland,10500,48,7.9,2025-09-08,2025-09-14,6,Active,Low,2966.64
L0000479,C000663,Car Finance,North West,4500,36,7.9,2025-05-13,2025-05-19,6,Delinquent,Low,1101.31
L0000480,C000664,Home Improvement,South West,15000,24,15.9,2026-05-28,2026-05-29,1,Active,Low,7239.86
L0000481,C000666,Home Improvement,South West,15000,12,12.9,2026-04-14,2026-04-20,6,Active,Medium,8616.42
L0000482,C000667,Car Finance,Scotland,23000,24,15.9,2025-04-27,2025-05-04,7,Delinquent,Medium,9746.47
L0000483,C000668,Car Finance,South East,17000,12,18.9,2025-10-15,2025-10-20,5,Active,Low,11749.77
L0000484,C000669,Personal Loan,South East,19500,60,18.9,2025-04-08,2025-04-14,6,Approved,Medium,9927.74
L0000485,C000670,Car Finance,North West,27000,24,7.9,2025-07-13,2025-07-16,3,Closed,High,0
L0000486,C000673,Personal Loan,London,4000,60,9.9,2025-10-06,2025-10-13,7,Active,Low,2689.44
L0000487,C000674,Personal Loan,London,24000,12,15.9,2025-06-30,2025-07-02,2,Active,Low,11937.26
L0000488,C000675,Car Finance,London,15000,24,9.9,2025-03-04,2025-03-09,5,Closed,Medium,0
L0000489,C000677,Car Finance,South West,16000,48,12.9,2025-11-12,2025-11-16,4,Active,Medium,11129.87
L0000490,C000678,Car Finance,Scotland,3000,24,9.9,2025-06-29,2025-06-30,1,Active,Low,1527.63
L0000491,C000679,Debt Consolidation,London,10500,48,9.9,2025-07-12,2025-07-17,5,Active,Medium,9874.05
L0000492,C000681,Debt Consolidation,South West,27500,60,15.9,2026-03-14,2026-03-20,6,Active,Low,11490.99
L0000493,C000682,Home Improvement,Midlands,6000,60,18.9,2025-10-08,2025-10-14,6,Active,Low,4583.07
L0000494,C000684,Car Finance,Wales,27500,60,12.9,2025-08-09,2025-08-14,5,Closed,Medium,0
